code;city;school_name;type;nature;specialization;num_vacant;num_potential;address;latitude;longitude;school_type
1631;Toulouse;Ecole Elementaire Publique Daniel Faucher(0311604a);E;Enseignant classeélémentaire;Sans spécialité;0;5;5 cheminement André Messager 31100 TOULOUSE, 31100 Toulouse;43.57312182848635;1.4056798829482506;Ecole
1632;Toulouse;Ecole Elementaire Publique Le Pastel(0311641r);E;Enseignant classeélémentaire;Sans spécialité;0;3;2 chemin d'Escallès 31400 TOULOUSE, 31400 Toulouse;43.54532713138142;1.45353049682074;Ecole
1633;Toulouse;Ecole Elementaire Publique Francoise Heritier(0311645v);E;Enseignant classeélémentaire;Sans spécialité;0;5;3 cheminement André Messager 31100 TOULOUSE, 31100 Toulouse;43.57264613919868;1.4059505487462778;Ecole
1634;Toulouse;Ecole Elementaire Publique Didier Daurat(0311693x);E;Enseignant classeélémentaire;Sans spécialité;2;4;19 rue Jean Gilles 31100 TOULOUSE, 31100 Toulouse;43.57338221341522;1.402210592237039;Ecole
1635;Toulouse;Ecole Elementaire Publique La Terrasse(0311745d);E;Enseignant classeélémentaire;Sans spécialité;0;5;4 impasse Trutat 31500 TOULOUSE, 31500 Toulouse;43.5837667349571;1.4853803995745845;Ecole
1636;Toulouse;Ecole Primaire Publique Ada Lovelace(0311782u);E;Enseignant classeélémentaire;Sans spécialité;1;4;3 rue du professeur Jacques ARLET 31300 TOULOUSE, 31300 Toulouse;43.597125991611016;1.4151594229766762;Ecole
1637;Toulouse;Ecole Elementaire Publique Fabre (0311880a);E;Enseignant classeélémentaire;Sans spécialité;0;7;9 rue Saint-Rémésy 31000 TOULOUSE, 31000 Toulouse;43.59585881188597;1.4433498081655625;Ecole
1638;Toulouse;Ecole Elementaire Publique Montaudran(0311923x);E;Enseignant classeélémentaire;Sans spécialité;0;6;Impasse Gaston Génin 31400 TOULOUSE, 31400 Toulouse;43.5741697884381;1.484460220617808;Ecole
1639;Toulouse;Ecole Elementaire Publique Leonce Bourliaguet(0311961n);E;Enseignant classeélémentaire;Sans spécialité;0;6;73 rue Aristide Maillol 31100 TOULOUSE, 31100 Toulouse;43.577519912284814;1.3959097925190411;Ecole
1640;Toulouse;Ecole Elementaire Publique Les Vergers(0312028l);E;Enseignant classeélémentaire;Sans spécialité;0;5;2 impasse des Vergers 31100 TOULOUSE, 31100 Toulouse;43.580839681341445;1.3987694942690791;Ecole
1641;Toulouse;Ecole Elementaire Publique Michelet(0312077p);E;Enseignant classeélémentaire;Sans spécialité;0;5;5 boulevard Michelet 31000 TOULOUSE, 31000 Toulouse;43.60301697949828;1.4558405341117195;Ecole
1642;Toulouse;Ecole Elementaire Publique Moliere (0312078r);E;Enseignant classeélémentaire;Sans spécialité;1;3;34 rue Sainte Lucie 31300 TOULOUSE, 31300 Toulouse;43.59339282820351;1.4310780717936866;Ecole
1644;Toulouse;Ecole Primaire Publique Sept-Deniers(0312080t);E;Enseignant classeélémentaire;Sans spécialité;0;11;110 route de Blagnac 31200 TOULOUSE, 31200 Toulouse;43.61665646112352;1.4088003602598822;Ecole
1645;Toulouse;Ecole Primaire Publique Amidonniers(0312088b);E;Enseignant classeélémentaire;Sans spécialité;1;6;123 allée de Brienne 31000 TOULOUSE, 31000 Toulouse;43.60929369282505;1.421370231531258;Ecole
1646;Toulouse;Ecole Elementaire Publique Elsa Triolet(0312107x);E;Enseignant classeélémentaire;Sans spécialité;0;6;4 bis rue Emile Pelletier 31100 TOULOUSE, 31100 Toulouse;43.572082903519906;1.39484006525137;Ecole
